Layer Values,Parameter Name,Shape
-0.15100943,encoder_soil.fc1.weight,30x34
-0.07100419,encoder_soil.fc1.weight,30x34
0.09444004,encoder_soil.fc1.weight,30x34
-0.04003008,encoder_soil.fc1.weight,30x34
0.00930199,encoder_soil.fc1.weight,30x34
0.060301058,encoder_soil.fc1.weight,30x34
-0.057063602,encoder_soil.fc1.weight,30x34
0.20748256,encoder_soil.fc1.weight,30x34
0.066366896,encoder_soil.fc1.weight,30x34
-0.006310638,encoder_soil.fc1.weight,30x34
0.01932778,encoder_soil.fc1.weight,30x34
0.011437261,encoder_soil.fc1.weight,30x34
0.06652951,encoder_soil.fc1.weight,30x34
-0.030473953,encoder_soil.fc1.weight,30x34
-0.00491571,encoder_soil.fc1.weight,30x34
-0.062179394,encoder_soil.fc1.weight,30x34
-0.05978193,encoder_soil.fc1.weight,30x34
0.12845378,encoder_soil.fc1.weight,30x34
0.037808485,encoder_soil.fc1.weight,30x34
0.00010720382,encoder_soil.fc1.weight,30x34
-0.005240671,encoder_soil.fc1.weight,30x34
-0.027265226,encoder_soil.fc1.weight,30x34
0.03341977,encoder_soil.fc1.weight,30x34
0.045706805,encoder_soil.fc1.weight,30x34
-0.084923744,encoder_soil.fc1.weight,30x34
-0.09767753,encoder_soil.fc1.weight,30x34
-0.1481071,encoder_soil.fc1.weight,30x34
0.21445547,encoder_soil.fc1.weight,30x34
0.018401101,encoder_soil.fc1.weight,30x34
0.11368343,encoder_soil.fc1.weight,30x34
0.04327732,encoder_soil.fc1.weight,30x34
0.00785034,encoder_soil.fc1.weight,30x34
-0.03708887,encoder_soil.fc1.weight,30x34
0.25278997,encoder_soil.fc1.weight,30x34
0.108807676,encoder_soil.fc1.weight,30x34
0.17355001,encoder_soil.fc1.weight,30x34
-0.19763815,encoder_soil.fc1.weight,30x34
0.026046257,encoder_soil.fc1.weight,30x34
0.105897665,encoder_soil.fc1.weight,30x34
0.105116375,encoder_soil.fc1.weight,30x34
0.016351394,encoder_soil.fc1.weight,30x34
0.17541675,encoder_soil.fc1.weight,30x34
-0.4013336,encoder_soil.fc1.weight,30x34
-0.15933344,encoder_soil.fc1.weight,30x34
0.1692727,encoder_soil.fc1.weight,30x34
0.19807461,encoder_soil.fc1.weight,30x34
0.0018330491,encoder_soil.fc1.weight,30x34
-0.015940825,encoder_soil.fc1.weight,30x34
-0.17962027,encoder_soil.fc1.weight,30x34
-0.20284326,encoder_soil.fc1.weight,30x34
-0.6207022,encoder_soil.fc1.weight,30x34
0.10637002,encoder_soil.fc1.weight,30x34
0.18333505,encoder_soil.fc1.weight,30x34
-0.026107194,encoder_soil.fc1.weight,30x34
0.06196758,encoder_soil.fc1.weight,30x34
0.00083051284,encoder_soil.fc1.weight,30x34
0.25302446,encoder_soil.fc1.weight,30x34
-0.17775507,encoder_soil.fc1.weight,30x34
0.19746646,encoder_soil.fc1.weight,30x34
0.21446212,encoder_soil.fc1.weight,30x34
0.10086181,encoder_soil.fc1.weight,30x34
0.1265615,encoder_soil.fc1.weight,30x34
-0.26592183,encoder_soil.fc1.weight,30x34
0.19073465,encoder_soil.fc1.weight,30x34
-0.182681,encoder_soil.fc1.weight,30x34
-0.35182568,encoder_soil.fc1.weight,30x34
-0.07572931,encoder_soil.fc1.weight,30x34
-0.14214458,encoder_soil.fc1.weight,30x34
-0.012237812,encoder_soil.fc1.weight,30x34
0.08442305,encoder_soil.fc1.weight,30x34
0.1505196,encoder_soil.fc1.weight,30x34
0.11681868,encoder_soil.fc1.weight,30x34
0.04303098,encoder_soil.fc1.weight,30x34
-0.19749384,encoder_soil.fc1.weight,30x34
0.100730926,encoder_soil.fc1.weight,30x34
-0.17369546,encoder_soil.fc1.weight,30x34
-0.046884585,encoder_soil.fc1.weight,30x34
0.23304766,encoder_soil.fc1.weight,30x34
0.10446595,encoder_soil.fc1.weight,30x34
0.09929211,encoder_soil.fc1.weight,30x34
-0.07890801,encoder_soil.fc1.weight,30x34
0.01242633,encoder_soil.fc1.weight,30x34
-0.0762541,encoder_soil.fc1.weight,30x34
0.05063523,encoder_soil.fc1.weight,30x34
-0.3225046,encoder_soil.fc1.weight,30x34
0.24690466,encoder_soil.fc1.weight,30x34
0.07489569,encoder_soil.fc1.weight,30x34
-0.2664032,encoder_soil.fc1.weight,30x34
-0.1390924,encoder_soil.fc1.weight,30x34
-0.32303742,encoder_soil.fc1.weight,30x34
-0.14653432,encoder_soil.fc1.weight,30x34
-0.20482965,encoder_soil.fc1.weight,30x34
-0.11915667,encoder_soil.fc1.weight,30x34
0.055097234,encoder_soil.fc1.weight,30x34
0.029508267,encoder_soil.fc1.weight,30x34
0.034056462,encoder_soil.fc1.weight,30x34
0.022061136,encoder_soil.fc1.weight,30x34
-0.0029660275,encoder_soil.fc1.weight,30x34
-0.19567318,encoder_soil.fc1.weight,30x34
0.11779041,encoder_soil.fc1.weight,30x34
0.18690316,encoder_soil.fc1.weight,30x34
-0.026216103,encoder_soil.fc1.weight,30x34
-0.056979105,encoder_soil.fc1.weight,30x34
-0.32982504,encoder_soil.fc1.weight,30x34
0.11788717,encoder_soil.fc1.weight,30x34
0.0785484,encoder_soil.fc1.weight,30x34
0.025503743,encoder_soil.fc1.weight,30x34
0.1460363,encoder_soil.fc1.weight,30x34
-0.1491339,encoder_soil.fc1.weight,30x34
0.1157833,encoder_soil.fc1.weight,30x34
-0.07056837,encoder_soil.fc1.weight,30x34
0.011091082,encoder_soil.fc1.weight,30x34
-0.018131232,encoder_soil.fc1.weight,30x34
-0.045606803,encoder_soil.fc1.weight,30x34
-0.09212567,encoder_soil.fc1.weight,30x34
0.0309562,encoder_soil.fc1.weight,30x34
0.066294156,encoder_soil.fc1.weight,30x34
-0.24300073,encoder_soil.fc1.weight,30x34
-0.1503412,encoder_soil.fc1.weight,30x34
0.009757818,encoder_soil.fc1.weight,30x34
-0.12763287,encoder_soil.fc1.weight,30x34
0.006305735,encoder_soil.fc1.weight,30x34
-0.017432604,encoder_soil.fc1.weight,30x34
-0.0350457,encoder_soil.fc1.weight,30x34
-0.06312058,encoder_soil.fc1.weight,30x34
0.016874364,encoder_soil.fc1.weight,30x34
0.014010961,encoder_soil.fc1.weight,30x34
-0.09657399,encoder_soil.fc1.weight,30x34
-0.0008656077,encoder_soil.fc1.weight,30x34
0.043456215,encoder_soil.fc1.weight,30x34
-0.17114139,encoder_soil.fc1.weight,30x34
0.10736259,encoder_soil.fc1.weight,30x34
-0.12589028,encoder_soil.fc1.weight,30x34
-0.1969008,encoder_soil.fc1.weight,30x34
0.046922293,encoder_soil.fc1.weight,30x34
-0.03409055,encoder_soil.fc1.weight,30x34
0.017222634,encoder_soil.fc1.weight,30x34
-0.032992538,encoder_soil.fc1.weight,30x34
-0.011326426,encoder_soil.fc1.weight,30x34
0.04779594,encoder_soil.fc1.weight,30x34
-0.0064562587,encoder_soil.fc1.weight,30x34
-0.022552257,encoder_soil.fc1.weight,30x34
-0.023008691,encoder_soil.fc1.weight,30x34
-0.2697267,encoder_soil.fc1.weight,30x34
-0.06497071,encoder_soil.fc1.weight,30x34
0.046740074,encoder_soil.fc1.weight,30x34
-0.03731646,encoder_soil.fc1.weight,30x34
-0.021698901,encoder_soil.fc1.weight,30x34
-0.21679291,encoder_soil.fc1.weight,30x34
0.040762212,encoder_soil.fc1.weight,30x34
0.004729712,encoder_soil.fc1.weight,30x34
0.08042053,encoder_soil.fc1.weight,30x34
-0.14819494,encoder_soil.fc1.weight,30x34
0.36986005,encoder_soil.fc1.weight,30x34
-0.05155978,encoder_soil.fc1.weight,30x34
-0.37245914,encoder_soil.fc1.weight,30x34
-0.13315868,encoder_soil.fc1.weight,30x34
0.26039255,encoder_soil.fc1.weight,30x34
0.21509743,encoder_soil.fc1.weight,30x34
0.026302649,encoder_soil.fc1.weight,30x34
-0.055087898,encoder_soil.fc1.weight,30x34
-0.11077003,encoder_soil.fc1.weight,30x34
0.027197357,encoder_soil.fc1.weight,30x34
0.11677281,encoder_soil.fc1.weight,30x34
0.012486961,encoder_soil.fc1.weight,30x34
0.21926866,encoder_soil.fc1.weight,30x34
0.13240556,encoder_soil.fc1.weight,30x34
-0.16879556,encoder_soil.fc1.weight,30x34
0.049155124,encoder_soil.fc1.weight,30x34
0.106748395,encoder_soil.fc1.weight,30x34
0.23684129,encoder_soil.fc1.weight,30x34
0.032731783,encoder_soil.fc1.weight,30x34
-0.14762376,encoder_soil.fc1.weight,30x34
-0.08065169,encoder_soil.fc1.weight,30x34
-0.04693212,encoder_soil.fc1.weight,30x34
0.07311844,encoder_soil.fc1.weight,30x34
0.1819039,encoder_soil.fc1.weight,30x34
0.25088337,encoder_soil.fc1.weight,30x34
0.11845958,encoder_soil.fc1.weight,30x34
-0.04158206,encoder_soil.fc1.weight,30x34
-0.2397688,encoder_soil.fc1.weight,30x34
0.30181652,encoder_soil.fc1.weight,30x34
-0.030473348,encoder_soil.fc1.weight,30x34
0.15396051,encoder_soil.fc1.weight,30x34
0.088286884,encoder_soil.fc1.weight,30x34
-0.24631965,encoder_soil.fc1.weight,30x34
-0.19157937,encoder_soil.fc1.weight,30x34
0.19773056,encoder_soil.fc1.weight,30x34
-0.054951224,encoder_soil.fc1.weight,30x34
0.06453166,encoder_soil.fc1.weight,30x34
-0.017553438,encoder_soil.fc1.weight,30x34
0.2238436,encoder_soil.fc1.weight,30x34
0.30642658,encoder_soil.fc1.weight,30x34
0.030436184,encoder_soil.fc1.weight,30x34
0.17826454,encoder_soil.fc1.weight,30x34
-0.0043789367,encoder_soil.fc1.weight,30x34
-0.17887889,encoder_soil.fc1.weight,30x34
0.055246472,encoder_soil.fc1.weight,30x34
-0.035948817,encoder_soil.fc1.weight,30x34
-0.18054585,encoder_soil.fc1.weight,30x34
-0.16052134,encoder_soil.fc1.weight,30x34
0.03308173,encoder_soil.fc1.weight,30x34
-0.05736593,encoder_soil.fc1.weight,30x34
-0.1431212,encoder_soil.fc1.weight,30x34
-0.056914456,encoder_soil.fc1.weight,30x34
0.014167966,encoder_soil.fc1.weight,30x34
-0.13112797,encoder_soil.fc1.weight,30x34
-0.12442869,encoder_soil.fc1.weight,30x34
-0.031461198,encoder_soil.fc1.weight,30x34
0.22511347,encoder_soil.fc1.weight,30x34
0.2185014,encoder_soil.fc1.weight,30x34
0.35653445,encoder_soil.fc1.weight,30x34
0.0059851375,encoder_soil.fc1.weight,30x34
-0.053880967,encoder_soil.fc1.weight,30x34
0.020692423,encoder_soil.fc1.weight,30x34
-0.14302064,encoder_soil.fc1.weight,30x34
-0.12550223,encoder_soil.fc1.weight,30x34
-0.09152787,encoder_soil.fc1.weight,30x34
-0.024583386,encoder_soil.fc1.weight,30x34
0.24284354,encoder_soil.fc1.weight,30x34
-0.34988406,encoder_soil.fc1.weight,30x34
-0.03303978,encoder_soil.fc1.weight,30x34
-0.05247606,encoder_soil.fc1.weight,30x34
0.023505716,encoder_soil.fc1.weight,30x34
-0.13427915,encoder_soil.fc1.weight,30x34
0.088991225,encoder_soil.fc1.weight,30x34
0.07925181,encoder_soil.fc1.weight,30x34
0.1531746,encoder_soil.fc1.weight,30x34
0.10894986,encoder_soil.fc1.weight,30x34
-0.15811895,encoder_soil.fc1.weight,30x34
-0.09930604,encoder_soil.fc1.weight,30x34
-0.005599394,encoder_soil.fc1.weight,30x34
0.038909383,encoder_soil.fc1.weight,30x34
-0.24055305,encoder_soil.fc1.weight,30x34
-0.08559165,encoder_soil.fc1.weight,30x34
-0.3186586,encoder_soil.fc1.weight,30x34
-0.07939943,encoder_soil.fc1.weight,30x34
-0.16222355,encoder_soil.fc1.weight,30x34
0.09575153,encoder_soil.fc1.weight,30x34
-0.27396265,encoder_soil.fc1.weight,30x34
0.22285601,encoder_soil.fc1.weight,30x34
0.19876398,encoder_soil.fc1.weight,30x34
0.16942649,encoder_soil.fc1.weight,30x34
0.058193542,encoder_soil.fc1.weight,30x34
-0.038250003,encoder_soil.fc1.weight,30x34
0.14017244,encoder_soil.fc1.weight,30x34
0.06975722,encoder_soil.fc1.weight,30x34
-0.19118053,encoder_soil.fc1.weight,30x34
0.07585432,encoder_soil.fc1.weight,30x34
0.12390154,encoder_soil.fc1.weight,30x34
-0.07566301,encoder_soil.fc1.weight,30x34
-0.043723986,encoder_soil.fc1.weight,30x34
-0.058852408,encoder_soil.fc1.weight,30x34
-0.122741446,encoder_soil.fc1.weight,30x34
0.07291623,encoder_soil.fc1.weight,30x34
0.17852756,encoder_soil.fc1.weight,30x34
0.0646654,encoder_soil.fc1.weight,30x34
-0.30839744,encoder_soil.fc1.weight,30x34
-0.18765236,encoder_soil.fc1.weight,30x34
0.014036096,encoder_soil.fc1.weight,30x34
-0.00077382784,encoder_soil.fc1.weight,30x34
0.1844261,encoder_soil.fc1.weight,30x34
0.17329639,encoder_soil.fc1.weight,30x34
-0.03693038,encoder_soil.fc1.weight,30x34
0.08357716,encoder_soil.fc1.weight,30x34
0.055393524,encoder_soil.fc1.weight,30x34
-0.12473273,encoder_soil.fc1.weight,30x34
0.21235076,encoder_soil.fc1.weight,30x34
-0.18166463,encoder_soil.fc1.weight,30x34
-0.12006529,encoder_soil.fc1.weight,30x34
0.005452107,encoder_soil.fc1.weight,30x34
0.005192581,encoder_soil.fc1.weight,30x34
-0.007670372,encoder_soil.fc1.weight,30x34
0.020219306,encoder_soil.fc1.weight,30x34
-0.0979952,encoder_soil.fc1.weight,30x34
-0.13927379,encoder_soil.fc1.weight,30x34
0.16480592,encoder_soil.fc1.weight,30x34
0.08659115,encoder_soil.fc1.weight,30x34
0.14754139,encoder_soil.fc1.weight,30x34
0.05899222,encoder_soil.fc1.weight,30x34
0.11730073,encoder_soil.fc1.weight,30x34
0.04679791,encoder_soil.fc1.weight,30x34
-0.20091704,encoder_soil.fc1.weight,30x34
0.7157177,encoder_soil.fc1.weight,30x34
-0.06506965,encoder_soil.fc1.weight,30x34
0.107250065,encoder_soil.fc1.weight,30x34
-0.051153194,encoder_soil.fc1.weight,30x34
-0.012017172,encoder_soil.fc1.weight,30x34
-0.34308523,encoder_soil.fc1.weight,30x34
-0.03497225,encoder_soil.fc1.weight,30x34
